subset,split,mode,best_epoch,spearman,pearson,rmse,mae,r2,source_path
HP-S2C2,s2c2_0,single_checkpoint_split_run,17,0.9511189937086071,0.9734910611016759,8.5928373336792,3.7798969745635986,0.9475904137529351,/data/run01/scz0brz/GG_thermostability/train_22_1_1_0/thermostability_prediction_20250324_161615/training_results.json
HP-S2C2,s2c2_1,single_checkpoint_split_run,5,0.9107733942008311,0.947519080561203,12.062349319458008,5.5689849853515625,0.8967655327774768,/data/run01/scz0brz/GG_thermostability/train_22_1_1_1/thermostability_prediction_20250324_162011/training_results.json
HP-S2C2,s2c2_2,single_checkpoint_split_run,16,0.9414958804014063,0.9710698477365016,9.270721435546875,3.7193033695220947,0.9381251329093664,/data/run01/scz0brz/GG_thermostability/train_22_1_1_2/thermostability_prediction_20250324_162011/training_results.json
HP-S2C2,s2c2_3,single_checkpoint_split_run,8,0.9362226036916733,0.9607036080355977,10.19898509979248,3.8386428356170654,0.9228944834753667,/data/run01/scz0brz/GG_thermostability/train_22_1_1_3/thermostability_prediction_20250324_162011/training_results.json
HP-S2C2,s2c2_4,single_checkpoint_split_run,7,0.9424847330805968,0.9851948187296282,6.560473918914795,3.672018051147461,0.9688834576286912,/data/run01/scz0brz/GG_thermostability/train_22_1_1_4/thermostability_prediction_20250324_162011/training_results.json
HP-S2C2,s2c2_5,single_checkpoint_split_run,5,0.9419465118864399,0.9661669943958003,9.514320373535156,4.107539176940918,0.9324814457746183,/data/run01/scz0brz/GG_thermostability/train_22_1_1_5/thermostability_prediction_20250324_162011/training_results.json
HP-S2C2,s2c2_6,single_checkpoint_split_run,6,0.9370849503263449,0.9695104761728021,9.033692359924316,4.457126140594482,0.9396411032266618,/data/run01/scz0brz/GG_thermostability/train_22_1_1_6/thermostability_prediction_20250324_162011/training_results.json
HP-S2C2,s2c2_7,single_checkpoint_split_run,8,0.9506833491778589,0.9804566553797103,7.318039894104004,3.4531521797180176,0.9605787271331948,/data/run01/scz0brz/GG_thermostability/train_22_1_1_7/thermostability_prediction_20250324_162011/training_results.json
HP-S2C2,s2c2_8,single_checkpoint_split_run,8,0.9471154308692661,0.9788528245987034,7.759474277496338,4.029415130615234,0.9581385360235253,/data/run01/scz0brz/GG_thermostability/train_22_1_1_8/thermostability_prediction_20250324_162011/training_results.json
HP-S2C2,s2c2_9,single_checkpoint_split_run,5,0.9479891232488343,0.9793321530490355,7.437750339508057,4.135623455047607,0.958875959603438,/data/run01/scz0brz/GG_thermostability/train_22_1_1_9/thermostability_prediction_20250324_162011/training_results.json
HP-S2C5,s2c5_0,single_checkpoint_split_run,7,0.9394945513186291,0.962081932365459,7.2275590896606445,3.6174001693725586,0.9228532420848835,/data/run01/scz0brz/GG_thermostability/train_22_2_1_0/thermostability_prediction_20250324_174538/training_results.json
HP-S2C5,s2c5_1,single_checkpoint_split_run,6,0.9161402777774051,0.9498178633887043,7.78585958480835,4.065762519836426,0.8981572015602748,/data/run01/scz0brz/GG_thermostability/train_22_2_1_1/thermostability_prediction_20250324_174719/training_results.json
HP-S2C5,s2c5_2,single_checkpoint_split_run,11,0.9462120822737968,0.9727645398723814,5.926945209503174,2.7469732761383057,0.942160303694491,/data/run01/scz0brz/GG_thermostability/train_22_2_1_2/thermostability_prediction_20250324_174719/training_results.json
